BrandName,Details,Sizes,MRP,SellPrice,Discount,Category,Colour,Tokenized_Details
life,solid cotton blend collar neck womens a-line dress,"Size:Large,Medium,Small,X-Large,X-Small",1699.0,849.0,50.0,a-line dress,indigo,"['solid', 'cotton', 'blend', 'collar', 'neck', 'womens', 'a-line', 'dress']"
only,polyester peter pan collar womens blouson dress,"Size:34,36,38,40",3499.0,2449.0,30.0,blouson dress,yellow,"['polyester', 'peter', 'pan', 'collar', 'womens', 'blouson', 'dress']"
fratini,solid polyester blend wide neck womens regular top,"Size:Large,X-Large,XX-Large",1199.0,599.0,50.0,regular top,off white,"['solid', 'polyester', 'blend', 'wide', 'neck', 'womens', 'regular', 'top']"
zink london,stripes polyester sweetheart neck womens dress,"Size:Large,Medium,Small,X-Large",2299.0,1379.0,40.0,dress,black,"['stripes', 'polyester', 'sweetheart', 'neck', 'womens', 'dress']"
life,regular fit regular length denim womens jeans,"Size:26,28,30,32,34,36",1699.0,849.0,50.0,jeans,stone,"['regular', 'fit', 'regular', 'length', 'denim', 'womens', 'jeans']"
kraus,wide ankle length cotton womens jeans,"Size:26,28,30,32,34",1795.0,1615.0,10.0,jeans,light blue,"['wide', 'ankle', 'length', 'cotton', 'womens', 'jeans']"
life,printed cotton blend collared womens regular dress,"Size:Large,Medium,Small,X-Large,X-Small",1299.0,649.0,50.0,regular dress,white,"['printed', 'cotton', 'blend', 'collared', 'womens', 'regular', 'dress']"
fratini,embroidered wide neck polyester womens regular top,Size:XX-Large,1299.0,649.0,50.0,regular top,blush,"['embroidered', 'wide', 'neck', 'polyester', 'womens', 'regular', 'top']"
rare,floral polyester v neck womens flared dress,"Size:Large,Medium,Small,X-Large",2099.0,839.0,60.0,flared dress,navy,"['floral', 'polyester', 'v', 'neck', 'womens', 'flared', 'dress']"
rare,checks cotton boat neck womens regular top,"Size:Medium,Small,X-Large",1499.0,599.0,60.0,regular top,black,"['checks', 'cotton', 'boat', 'neck', 'womens', 'regular', 'top']"
life,solid square neck cotton womens regular dress,"Size:Large,Medium,Small,X-Large,X-Small",1499.0,749.0,50.0,regular dress,pink,"['solid', 'square', 'neck', 'cotton', 'womens', 'regular', 'dress']"
life,regular fit regular length denim womens jeans,"Size:26,28,30,32,34,36",999.0,499.0,50.0,jeans,indigo,"['regular', 'fit', 'regular', 'length', 'denim', 'womens', 'jeans']"
life,printed blended round neck womens shift dress,"Size:Large,Medium,Small,X-Large,X-Small",1499.0,749.0,50.0,shift dress,orange,"['printed', 'blended', 'round', 'neck', 'womens', 'shift', 'dress']"
life,printed jersey round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",599.0,299.0,50.0,t-shirt,black,"['printed', 'jersey', 'round', 'neck', 'womens', 't-shirt']"
life,printed crepe square neck womens top,"Size:Large,Medium,Small,X-Large,X-Small",999.0,499.0,50.0,top,blue,"['printed', 'crepe', 'square', 'neck', 'womens', 'top']"
life,solid cotton collar neck womens shirt,"Size:Large,Medium,Small,X-Large,X-Small",1199.0,599.0,50.0,shirt,pink,"['solid', 'cotton', 'collar', 'neck', 'womens', 'shirt']"
life,solid cotton lycra round neck womens t-shirt,"Size:Large,Medium,Small,X-Small",599.0,299.0,50.0,t-shirt,white,"['solid', 'cotton', 'lycra', 'round', 'neck', 'womens', 't-shirt']"
life,printed cotton collar neck womens shirt,"Size:Large,Medium,Small,X-Large,X-Small",1299.0,649.0,50.0,shirt,white,"['printed', 'cotton', 'collar', 'neck', 'womens', 'shirt']"
van heusen,solid cotton v neck womens formal shirt,"Size:Large,Small,X-Small",1999.0,799.0,60.0,formal shirt,maroon,"['solid', 'cotton', 'v', 'neck', 'womens', 'formal', 'shirt']"
life,regular fit regular length denim womens jeans,"Size:26,28,30,32,34,36",1999.0,999.0,50.0,jeans,mid stone,"['regular', 'fit', 'regular', 'length', 'denim', 'womens', 'jeans']"
fratini,solid round neck viscose womens regular dress,"Size:Large,Medium,Small,X-Large,XX-Large",1499.0,749.0,50.0,regular dress,olive,"['solid', 'round', 'neck', 'viscose', 'womens', 'regular', 'dress']"
life,solid wide neck viscose womens regular top,"Size:Large,Medium,Small,X-Large,X-Small",1299.0,649.0,50.0,regular top,blue,"['solid', 'wide', 'neck', 'viscose', 'womens', 'regular', 'top']"
stop,printed regular neck cotton womens formal shirt,"Size:Large,Medium,Small,X-Large,XX-Large",799.0,399.0,50.0,formal shirt,ecru,"['printed', 'regular', 'neck', 'cotton', 'womens', 'formal', 'shirt']"
life,regular fit regular length denim womens jeans,"Size:26,28,30,32,34,36",1999.0,999.0,50.0,jeans,mid stone,"['regular', 'fit', 'regular', 'length', 'denim', 'womens', 'jeans']"
zink london,floral viscose sweetheart neck womens dress,"Size:Medium,Small,X-Small,XX-Large",2799.0,1679.0,40.0,dress,green,"['floral', 'viscose', 'sweetheart', 'neck', 'womens', 'dress']"
life,printed viscose v neck womens regular woven top,"Size:Large,Medium,Small,X-Large,X-Small",1199.0,599.0,50.0,regular woven top,off white,"['printed', 'viscose', 'v', 'neck', 'womens', 'regular', 'woven', 'top']"
life,printed cotton blend v neck womens top,"Size:Large,Medium,Small,X-Large,X-Small",999.0,499.0,50.0,top,pink,"['printed', 'cotton', 'blend', 'v', 'neck', 'womens', 'top']"
stop,printed regular neck cotton womens formal shirt,"Size:Large,Medium,Small,X-Large,XX-Large",899.0,449.0,50.0,formal shirt,black,"['printed', 'regular', 'neck', 'cotton', 'womens', 'formal', 'shirt']"
life,printed cotton blend round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",999.0,499.0,50.0,t-shirt,white,"['printed', 'cotton', 'blend', 'round', 'neck', 'womens', 't-shirt']"
life,embroidered viscose square neck womens regular top,"Size:Large,Medium,Small,X-Large,X-Small",1199.0,599.0,50.0,regular top,white,"['embroidered', 'viscose', 'square', 'neck', 'womens', 'regular', 'top']"
life,regular fit regular length denim womens jeans,"Size:26,28,30,32,34,36,Medium",1699.0,849.0,50.0,jeans,indigo,"['regular', 'fit', 'regular', 'length', 'denim', 'womens', 'jeans']"
life,printed cotton lycra round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",699.0,349.0,50.0,t-shirt,pink mix,"['printed', 'cotton', 'lycra', 'round', 'neck', 'womens', 't-shirt']"
cover story,solid round neck cotton womens regular dress,"Size:Large,Medium,Small,X-Large,X-Small",2890.0,1445.0,50.0,regular dress,dark brown,"['solid', 'round', 'neck', 'cotton', 'womens', 'regular', 'dress']"
infuse,printed square neck rayon womens dress,"Size:Large,Medium,Small,X-Large,X-Small",1999.0,999.0,50.0,dress,pink,"['printed', 'square', 'neck', 'rayon', 'womens', 'dress']"
allen solly,solid rayon regular fit womens trousers,"Size:26,28,30,32,34,36",1299.0,1039.0,20.0,trousers,black,"['solid', 'rayon', 'regular', 'fit', 'womens', 'trousers']"
infuse,regular fit regular length cotton womens loungewear short set,"Size:Large,Medium,Small,X-Small",899.0,359.0,60.0,loungewear short set,pink,"['regular', 'fit', 'regular', 'length', 'cotton', 'womens', 'loungewear', 'short', 'set']"
van heusen,solid polyester collar neck womens shirt,"Size:Large,Medium,Small,X-Large,X-Small",1699.0,999.0,41.0,shirt,black,"['solid', 'polyester', 'collar', 'neck', 'womens', 'shirt']"
life,solid viscose round neck womens regular top,"Size:Large,Medium,Small,X-Large,X-Small",999.0,499.0,50.0,regular top,sage,"['solid', 'viscose', 'round', 'neck', 'womens', 'regular', 'top']"
