BrandName,Details,Sizes,MRP,SellPrice,Discount,Category,Colour
life,solid cotton blend collar neck womens a-line dress,"Size:Large,Medium,Small,X-Large,X-Small",1699.0,849.0,50.0,a-line dress,indigo
only,polyester peter pan collar womens blouson dress,"Size:34,36,38,40",3499.0,2449.0,30.0,blouson dress,yellow
fratini,solid polyester blend wide neck womens regular top,"Size:Large,X-Large,XX-Large",1199.0,599.0,50.0,regular top,off white
zink london,stripes polyester sweetheart neck womens dress,"Size:Large,Medium,Small,X-Large",2299.0,1379.0,40.0,dress,black
life,regular fit regular length denim womens jeans,"Size:26,28,30,32,34,36",1699.0,849.0,50.0,jeans,stone
kraus,wide ankle length cotton womens jeans,"Size:26,28,30,32,34",1795.0,1615.0,10.0,jeans,light blue
life,printed cotton blend collared womens regular dress,"Size:Large,Medium,Small,X-Large,X-Small",1299.0,649.0,50.0,regular dress,white
fratini,embroidered wide neck polyester womens regular top,Size:XX-Large,1299.0,649.0,50.0,regular top,blush
rare,floral polyester v neck womens flared dress,"Size:Large,Medium,Small,X-Large",2099.0,839.0,60.0,flared dress,navy
rare,checks cotton boat neck womens regular top,"Size:Medium,Small,X-Large",1499.0,599.0,60.0,regular top,black
life,solid square neck cotton womens regular dress,"Size:Large,Medium,Small,X-Large,X-Small",1499.0,749.0,50.0,regular dress,pink
life,regular fit regular length denim womens jeans,"Size:26,28,30,32,34,36",999.0,499.0,50.0,jeans,indigo
life,printed blended round neck womens shift dress,"Size:Large,Medium,Small,X-Large,X-Small",1499.0,749.0,50.0,shift dress,orange
life,printed jersey round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",599.0,299.0,50.0,t-shirt,black
life,printed crepe square neck womens top,"Size:Large,Medium,Small,X-Large,X-Small",999.0,499.0,50.0,top,blue
life,solid cotton collar neck womens shirt,"Size:Large,Medium,Small,X-Large,X-Small",1199.0,599.0,50.0,shirt,pink
life,solid cotton lycra round neck womens t-shirt,"Size:Large,Medium,Small,X-Small",599.0,299.0,50.0,t-shirt,white
life,printed cotton collar neck womens shirt,"Size:Large,Medium,Small,X-Large,X-Small",1299.0,649.0,50.0,shirt,white
van heusen,solid cotton v neck womens formal shirt,"Size:Large,Small,X-Small",1999.0,799.0,60.0,formal shirt,maroon
life,regular fit regular length denim womens jeans,"Size:26,28,30,32,34,36",1999.0,999.0,50.0,jeans,mid stone
fratini,solid round neck viscose womens regular dress,"Size:Large,Medium,Small,X-Large,XX-Large",1499.0,749.0,50.0,regular dress,olive
life,solid wide neck viscose womens regular top,"Size:Large,Medium,Small,X-Large,X-Small",1299.0,649.0,50.0,regular top,blue
stop,printed regular neck cotton womens formal shirt,"Size:Large,Medium,Small,X-Large,XX-Large",799.0,399.0,50.0,formal shirt,ecru
life,regular fit regular length denim womens jeans,"Size:26,28,30,32,34,36",1999.0,999.0,50.0,jeans,mid stone
zink london,floral viscose sweetheart neck womens dress,"Size:Medium,Small,X-Small,XX-Large",2799.0,1679.0,40.0,dress,green
life,printed viscose v neck womens regular woven top,"Size:Large,Medium,Small,X-Large,X-Small",1199.0,599.0,50.0,regular woven top,off white
life,printed cotton blend v neck womens top,"Size:Large,Medium,Small,X-Large,X-Small",999.0,499.0,50.0,top,pink
stop,printed regular neck cotton womens formal shirt,"Size:Large,Medium,Small,X-Large,XX-Large",899.0,449.0,50.0,formal shirt,black
life,printed cotton blend round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",999.0,499.0,50.0,t-shirt,white
life,embroidered viscose square neck womens regular top,"Size:Large,Medium,Small,X-Large,X-Small",1199.0,599.0,50.0,regular top,white
life,regular fit regular length denim womens jeans,"Size:26,28,30,32,34,36,Medium",1699.0,849.0,50.0,jeans,indigo
