BrandName,Details,Sizes,MRP,SellPrice,Discount,Category,Colour
life,solid cotton blend collar neck womens a-line dress,"Size:Large,Medium,Small,X-Large,X-Small",1699,849,50,Westernwear-Women,indigo
only,polyester peter pan collar womens blouson dress,"Size:34,36,38,40",3499,2449,30,Westernwear-Women,yellow
fratini,solid polyester blend wide neck womens regular top,"Size:Large,X-Large,XX-Large",1199,599,50,Westernwear-Women,off white
zink london,stripes polyester sweetheart neck womens dress,"Size:Large,Medium,Small,X-Large",2299,1379,40,Westernwear-Women,black
life,regular fit regular length denim womens jeans,"Size:26,28,30,32,34,36",1699,849,50,Westernwear-Women,stone
kraus,wide ankle length cotton womens jeans,"Size:26,28,30,32,34",1795,1615,10,Westernwear-Women,light blue
life,printed cotton blend collared womens regular dress,"Size:Large,Medium,Small,X-Large,X-Small",1299,649,50,Westernwear-Women,white
fratini,embroidered wide neck polyester womens regular top,Size:XX-Large,1299,649,50,Westernwear-Women,blush
rare,floral polyester v neck womens flared dress,"Size:Large,Medium,Small,X-Large",2099,839,60,Westernwear-Women,navy
rare,checks cotton boat neck womens regular top,"Size:Medium,Small,X-Large",1499,599,60,Westernwear-Women,black
life,solid square neck cotton womens regular dress,"Size:Large,Medium,Small,X-Large,X-Small",1499,749,50,Westernwear-Women,pink
life,regular fit regular length denim womens jeans,"Size:26,28,30,32,34,36",999,499,50,Westernwear-Women,indigo
life,printed blended round neck womens shift dress,"Size:Large,Medium,Small,X-Large,X-Small",1499,749,50,Westernwear-Women,orange
life,printed jersey round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",599,299,50,Westernwear-Women,black
life,printed crepe square neck womens top,"Size:Large,Medium,Small,X-Large,X-Small",999,499,50,Westernwear-Women,blue
life,solid cotton collar neck womens shirt,"Size:Large,Medium,Small,X-Large,X-Small",1199,599,50,Westernwear-Women,pink
life,solid cotton lycra round neck womens t-shirt,"Size:Large,Medium,Small,X-Small",599,299,50,Westernwear-Women,white
life,printed cotton collar neck womens shirt,"Size:Large,Medium,Small,X-Large,X-Small",1299,649,50,Westernwear-Women,white
van heusen,solid cotton v neck womens formal shirt,"Size:Large,Small,X-Small",1999,799,60,Westernwear-Women,maroon
life,regular fit regular length denim womens jeans,"Size:26,28,30,32,34,36",1999,999,50,Westernwear-Women,mid stone
fratini,solid round neck viscose womens regular dress,"Size:Large,Medium,Small,X-Large,XX-Large",1499,749,50,Westernwear-Women,olive
life,solid wide neck viscose womens regular top,"Size:Large,Medium,Small,X-Large,X-Small",1299,649,50,Westernwear-Women,blue
stop,printed regular neck cotton womens formal shirt,"Size:Large,Medium,Small,X-Large,XX-Large",799,399,50,Westernwear-Women,ecru
life,regular fit regular length denim womens jeans,"Size:26,28,30,32,34,36",1999,999,50,Westernwear-Women,mid stone
zink london,floral viscose sweetheart neck womens dress,"Size:Medium,Small,X-Small,XX-Large",2799,1679,40,Westernwear-Women,green
life,printed viscose v neck womens regular woven top,"Size:Large,Medium,Small,X-Large,X-Small",1199,599,50,Westernwear-Women,off white
life,printed cotton blend v neck womens top,"Size:Large,Medium,Small,X-Large,X-Small",999,499,50,Westernwear-Women,pink
zink z,solid cotton blend v neck womens top,"Size:Large,Medium,Small,X-Large,X-Small",,1299,0,Westernwear-Women,maroon
stop,printed regular neck cotton womens formal shirt,"Size:Large,Medium,Small,X-Large,XX-Large",899,449,50,Westernwear-Women,black
life,printed cotton blend round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",999,499,50,Westernwear-Women,white
life,embroidered viscose square neck womens regular top,"Size:Large,Medium,Small,X-Large,X-Small",1199,599,50,Westernwear-Women,white
life,regular fit regular length denim womens jeans,"Size:26,28,30,32,34,36,Medium",1699,849,50,Westernwear-Women,indigo
life,printed cotton lycra round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",699,349,50,Westernwear-Women,pink mix
cover story,solid round neck cotton womens regular dress,"Size:Large,Medium,Small,X-Large,X-Small",2890,1445,50,Westernwear-Women,dark brown
infuse,printed square neck rayon womens dress,"Size:Large,Medium,Small,X-Large,X-Small",1999,999,50,Westernwear-Women,pink
fratini,printed polyester blend round neck womens a-line dress,"Size:Large,Medium,Small,X-Large,XX-Large",,1799,0,Westernwear-Women,white
allen solly,solid rayon regular fit womens trousers,"Size:26,28,30,32,34,36",1299,1039,20,Westernwear-Women,black
infuse,regular fit regular length cotton womens loungewear short set,"Size:Large,Medium,Small,X-Small",899,359,60,Westernwear-Women,pink
van heusen,solid polyester collar neck womens shirt,"Size:Large,Medium,Small,X-Large,X-Small",1699,999,41,Westernwear-Women,black
life,solid viscose round neck womens regular top,"Size:Large,Medium,Small,X-Large,X-Small",999,499,50,Westernwear-Women,sage
cover story,printed polyester round neck womens dress,"Size:Medium,Small,X-Large,X-Small",4490,3143,30,Westernwear-Women,black
life,printed collar neck polyester womens regular top,"Size:Large,Medium,Small,X-Large,X-Small",999,499,50,Westernwear-Women,navy
zink london,lace polyester round neck womens dress,"Size:Large,Medium,Small,X-Large",3299,1979,40,Westernwear-Women,green
stop,solid viscose v-neck womens regular top,"Size:Large,Medium,Small,XX-Large",999,499,50,Westernwear-Women,mustard
fratini,printed v-neck polyester womens regular dress,"Size:Large,Medium,Small,X-Large,XX-Large",1899,949,50,Westernwear-Women,natural
rare,floral polyester off shoulder womens flared dress,"Size:Large,Medium,Small,X-Large",1899,854,55,Westernwear-Women,black
life,printed viscose wide neck womens regular dress,"Size:Large,Medium,Small,X-Large,X-Small",1299,649,50,Westernwear-Women,pink
altlife,printed skinny fit cotton blend womens active wear track pants,"Size:28,30,32,34,36",999,499,50,Westernwear-Women,grey
stop,printed regular neck cotton womens formal shirt,"Size:Medium,Small,X-Small,XX-Large",899,449,50,Westernwear-Women,blue denim
life,regular fit regular length denim womens jeans,"Size:26,28,30,32,34,36",1999,999,50,Westernwear-Women,olive
rare,solid polyester round neck womens a-line dress,"Size:Large,Medium,Small,X-Large",1499,674,55,Westernwear-Women,navy
zink london,solid polyester v neck womens top,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1399,839,40,Westernwear-Women,yellow
life,printed cotton blend collar neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",999,499,50,Westernwear-Women,red
madame,printed polyester blend square neck womens dress,"Size:Large,Medium,Small,X-Large,XX-Large",2699,1619,40,Westernwear-Women,green
zink london,solid polyester scoop neck womens bodycon dress,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2499,1499,40,Westernwear-Women,baby pink
rare,floral polyester v neck womens flared dress,"Size:Large,Medium,Small,X-Large",2099,944,55,Westernwear-Women,blue
fratini,solid round neck viscose womens regular dress,"Size:Large,Medium,Small,X-Large,XX-Large",1499,749,50,Westernwear-Women,black
iti,solid georgette collar neck womens top,"Size:Small,X-Small",1499,399,73,Westernwear-Women,olive
rare,solid comfort fit polyester womens casual wear trousers,"Size:Large,Medium,Small,X-Large",1599,719,55,Westernwear-Women,black
levis,graphic cotton round neck womens t-shirt,"Size:Large,Medium,Small,X-Small",,1199,0,Westernwear-Women,brown
cover story,regular fit polyester womens casual trousers,"Size:26,28,30,32,34",2590,1813,30,Westernwear-Women,pink
zink london,printed v neck polyester womens a-line dress,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2299,1149,50,Westernwear-Women,green
and,polka dots boat neck viscose womens regular dresses,"Size:8,10,12,14,16,18",2899,2319,20,Westernwear-Women,pink
van heusen,solid cotton v neck womens formal shirt,"Size:Large,Medium,Small",1999,799,60,Westernwear-Women,green
life,printed cotton lycra round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",699,349,50,Westernwear-Women,yellow
life,solid cotton blend round neck womens t-shirt,"Size:Large,Medium,Small,X-Large",899,449,50,Westernwear-Women,pink
faballey,printed georgette round neck womens regular dress,"Size:Large,Medium,Small,X-Large,X-Small",2800,2240,20,Westernwear-Women,pink
levis,tapered fit regular length cotton womens jeans,"Size:26,28,30,32,34",,3799,0,Westernwear-Women,dk indigo
rare,floral polyester v neck womens flared dress,"Size:Large,Medium,Small",2099,944,55,Westernwear-Women,natural
rare,solid polyester round neck womens a-line dress,"Size:Large,Medium,Small,X-Large",1999,799,60,Westernwear-Women,red
rare,solid georgette round neck womens top,"Size:Large,Small,X-Large",1399,559,60,Westernwear-Women,maroon
stop,printed viscose regular neck womens top,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",999,499,50,Westernwear-Women,white
fratini,printed viscose collar neck womens a-line dress,"Size:Large,Medium,Small,X-Large,XX-Large",1599,799,50,Westernwear-Women,black
life,solid cotton lycra round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",699,349,50,Westernwear-Women,off white
life,printed jersey round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",599,299,50,Westernwear-Women,lilac
only,checks cotton womens top,"Size:34,36,38,40,42",1999,1399,30,Westernwear-Women,white
life,regular fit regular length cotton lycra womens jeans,"Size:26,28,30,32,34,36",1299,649,50,Westernwear-Women,white
van heusen,solid polyester collar neck womens top,"Size:Small,X-Small",1699,999,41,Westernwear-Women,black
fratini,solid polyester round neck womens a-line dress,"Size:Large,Medium,Small,X-Large,XX-Large",1599,799,50,Westernwear-Women,aubergine
life,printed cotton lycra round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",699,349,50,Westernwear-Women,pink
fratini,solid round neck viscose womens regular dress,"Size:Large,Medium,Small,X-Large,XX-Large",1499,749,50,Westernwear-Women,tan
kraus,super skinny fit ankle length cotton blend womens jeans,"Size:28,30,32,34,36,38",1995,1396,30,Westernwear-Women,blue
life,checks cotton blend collar neck womens regular top,"Size:Large,Medium,Small,X-Large,X-Small",1299,649,50,Westernwear-Women,sage
life,embroidered cotton blend round neck womens top,"Size:Large,Medium,Small,X-Large,X-Small",1299,649,50,Westernwear-Women,blue
rare,solid polyester blend boat neck womens flared dress,"Size:Large,Medium,Small,X-Large",1699,764,55,Westernwear-Women,black
and,solid polyester square neck womens flared dress,"Size:10,12,14,16,18",2699,2159,20,Westernwear-Women,sage
life,solid cotton blend round neck womens t-shirt,"Size:Large,Medium,X-Large,X-Small",899,449,50,Westernwear-Women,natural
kraus,wide leg fit ankle length cotton womens jeans,"Size:28,30,32",1695,1525,10,Westernwear-Women,blue
life,printed jersey round neck womens t-shirt,"Size:Large,Medium,Small,X-Small",699,349,50,Westernwear-Women,red
fratini,sanya malhotra regular fit regular length cotton linen womens culottes,"Size:26,28,30,32,34,36",,1299,0,Westernwear-Women,olive
fratini,solid square neck polyester womens woven top,"Size:Large,Medium,X-Large,XX-Large",999,499,50,Westernwear-Women,natural
fratini,solid v-neck tencel womens a-line dress,"Size:Large,Small",1699,849,50,Westernwear-Women,light blue
zink london,printed cotton round neck womens t-shirt,Size:X-Large,1299,399,69,Westernwear-Women,brown
life,regular fit regular length cotton lycra womens jeans,"Size:26,28,30,32",999,499,50,Westernwear-Women,mid stone
zink london,textured polyester round neck womens straight top,"Size:Large,Small,X-Small",1399,839,40,Westernwear-Women,natural
allen solly,printed stylized polyester womens fit and flare dress,"Size:Large,Medium,Small,X-Large",2499,1499,40,Westernwear-Women,grey
stop,solid polyester regular neck womens top,"Size:Large,Medium,Small,X-Large,XX-Large",1299,649,50,Westernwear-Women,sage
only,lace cotton collar neck womens top,"Size:34,36,38,40,42",2499,1499,40,Westernwear-Women,red
fratini,regular fit regular length cotton blend womens jeans,"Size:28,30,32,34,36",1299,649,50,Westernwear-Women,white
fratini,printed square neck polyester womens regular dress,"Size:Large,Medium,Small,X-Large,XX-Large",1699,849,50,Westernwear-Women,pink
van heusen,solid polyester v neck womens shirt,"Size:Large,Medium,Small,X-Large,X-Small",1699,999,41,Westernwear-Women,white
only,self design viscose square neck womens top,"Size:34,36,38,40,42",2299,1379,40,Westernwear-Women,white
life,printed blended round neck womens shift dress,"Size:Large,Medium,Small,X-Large,X-Small",1499,749,50,Westernwear-Women,navy
zink london,solid collar neck polyester womens casual shirt,"Size:Medium,Small,XX-Large",1699,849,50,Westernwear-Women,green
life,printed cotton lycra round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",699,349,50,Westernwear-Women,sage
faballey,embroidered cotton square neck womens regular dress,"Size:Large,Medium,Small,X-Large,X-Small",2600,2080,20,Westernwear-Women,white
life,printed cotton blend round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",999,499,50,Westernwear-Women,black
infuse,floral rayon v neck womens strappy dress,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1499,749,50,Westernwear-Women,pista green
kraus,baggy fit ankle length cotton womens jeans,"Size:28,30,32,34",1595,1116,30,Westernwear-Women,light blue
life,printed cotton lycra round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",699,349,50,Westernwear-Women,blue
fratini,solid polyester blend round neck womens a-line dress,"Size:Large,Medium,Small,X-Large,XX-Large",1899,949,50,Westernwear-Women,pink
madame,solid polyester v neck womens top,"Size:Large,Medium,Small,X-Large,XX-Large",1699,1189,30,Westernwear-Women,blush
kraus,super skinny fit ankle length cotton blend womens jeans,"Size:28,30,32,34,36,38",1895,947,50,Westernwear-Women,dark blue
kraus,skinny fit full length cotton blend womens jeans,"Size:28,30,32,36",1895,947,50,Westernwear-Women,navy
stop,printed regular neck cotton womens formal shirt,"Size:Large,Medium,Small,X-Large,XX-Large",899,449,50,Westernwear-Women,white
life,regular fit regular length denim womens jeans,"Size:26,28,30,32,34,36",1999,999,50,Westernwear-Women,pink
zink london,printed cotton collar neck womens dress,"Size:Large,Medium,Small,X-Small,XX-Large",2899,1739,40,Westernwear-Women,blue
life,skinny fit regular length cotton lycra womens jeans,"Size:26,28,30,32,34,36",999,499,50,Westernwear-Women,black
stop,solid regular neck cotton blend womens formal shirt,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",899,449,50,Westernwear-Women,powder blue
altlife,solid polyester blend ankle length womens tights,"Size:28,30,32,34,36",1299,649,50,Westernwear-Women,misty lilac
life,solid cotton wide neck womens a-line dress,"Size:Large,Medium,Small,X-Large,X-Small",1699,849,50,Westernwear-Women,powder blue
allen solly,printed v-neck viscose womens fit and flare dress,"Size:Large,Medium,Small,X-Large,X-Small",2499,1499,40,Westernwear-Women,black
stop,solid regular fit polyester womens formal pants,"Size:28,30,34,36",1699,849,50,Westernwear-Women,black
and,solid polyester v neck womens regular dress,"Size:8,18",2899,2319,20,Westernwear-Women,wine
rare,floral polyester off shoulder womens regular top,"Size:Large,Small",999,499,50,Westernwear-Women,blue
zink london,stripes cotton round neck womens straight top,"Size:Large,Medium,Small,X-Large,X-Small",1399,699,50,Westernwear-Women,multi
life,fit above knee denim womens casual skirt,"Size:26,28,30,32,34,36",1299,649,50,Westernwear-Women,black
fratini,printed polyester round neck womens a-line dress,"Size:Error Size,Large,Medium,Small,X-Large,XX-Large",1999,999,50,Westernwear-Women,yellow
rare,floral polyester round neck womens flared dress,"Size:Large,Medium,Small,X-Large",1999,899,55,Westernwear-Women,black
latin quarters,solid polyester womens regular blouse,"Size:S,M,L,XL",1899,949,50,Westernwear-Women,wine
fratini,printed polyester blend round neck womens regular top,"Size:Medium,Small",999,499,50,Westernwear-Women,yellow
zink london,embroidered viscose mandarin womens top,"Size:Large,Medium,Small,X-Small,XX-Large",2199,1319,40,Westernwear-Women,blue
stop,solid regular neck cotton stretch womens formal shirt,"Size:Large,Small,X-Large,XX-Large",999,499,50,Westernwear-Women,bottle green
rare,half sleeves regular fit womens casual dress,"Size:Large,Medium,Small,X-Large",1999,899,55,Westernwear-Women,navy
latin quarters,printed polyester womens regular dress,"Size:S,M,L,XL,XX-Large",2799,1959,30,Westernwear-Women,red
zink london,solid polyester round neck womens top,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1499,899,40,Westernwear-Women,navy
stop,solid collar neck cotton blend womens regular top,"Size:Large,X-Large,XX-Large",999,499,50,Westernwear-Women,peach
cover story,solid viscose collar neck womens top,"Size:Small,X-Small",2290,1603,30,Westernwear-Women,peach
stop,printed regular neck cotton womens formal shirt,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",799,399,50,Westernwear-Women,black
zink london,printed cotton round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",799,479,40,Westernwear-Women,green
zink london,floral rayon collar neck womens casual shirt,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1599,799,50,Westernwear-Women,yellow
rare,floral georgette round neck womens flared dress,"Size:Large,Medium,Small",1899,854,55,Westernwear-Women,grey
van heusen,super slim fit regular cotton womens jeans,"Size:28,32,34",2199,999,55,Westernwear-Women,navy
life,printed cotton lycra round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",699,349,50,Westernwear-Women,blue
rare,solid polyester blend round neck womens a-line dress,"Size:Small,X-Large",1699,764,55,Westernwear-Women,black
life,striped cotton blend collar neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",799,399,50,Westernwear-Women,blue
van heusen,textured polyester blend regular fit womens trousers,"Size:26,34",2199,999,55,Westernwear-Women,maroon
madame,solid cotton round neck womens regular top,"Size:Large,Medium,Small,X-Large",1199,599,50,Westernwear-Women,off white
fratini,printed viscose blend round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,XX-Large",,799,0,Westernwear-Women,natural
life,regular fit regular length cotton lycra womens jeans,"Size:26,28,30,32,34,36",1299,649,50,Westernwear-Women,black
van heusen,solid polyester collar neck womens formal shirt,Size:X-Small,1699,999,41,Westernwear-Women,off white
rare,floral polyester round neck womens regular top,"Size:Large,Medium,Small,X-Large",1299,584,55,Westernwear-Women,multi
life,solid polyester blend round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",999,499,50,Westernwear-Women,black
only,stripes polyester round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",1799,1079,40,Westernwear-Women,blue
infuse,graphic cotton round neck womens regular fit t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",499,199,60,Westernwear-Women,yellow
and,solid boat neck polyester womens straight dresses,"Size:6,8,10,12,14,16",2499,1999,20,Westernwear-Women,multi
rare,stripes polyester round neck womens regular top,"Size:Large,Medium,Small,X-Large",1199,539,55,Westernwear-Women,navy
life,solid polyester blend round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",999,499,50,Westernwear-Women,dusty pink
van heusen,solid polyester blend regular fit womens trousers,Size:26,1499,799,47,Westernwear-Women,pink
zink london,solid polyester round neck womens top,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1599,959,40,Westernwear-Women,white
fratini,printed v-neck viscose womens woven top,"Size:Small,XX-Large",999,499,50,Westernwear-Women,pink
life,regular fit regular length denim womens jeans,"Size:26,28,30,32,34,36",1999,999,50,Westernwear-Women,charcoal
fratini,solid square neck polyester womens woven top,"Size:Large,Medium,X-Large,XX-Large",999,499,50,Westernwear-Women,olive
kraus,wide leg fit ankle length cotton womens jeans,"Size:28,30,32,34,36",1795,1256,30,Westernwear-Women,dark blue
madame,solid cotton round neck womens regular top,"Size:Large,Medium,X-Large",1499,899,40,Westernwear-Women,mauve
life,printed viscose collar neck womens shirt,"Size:Large,Medium,Small,X-Large,X-Small",899,449,50,Westernwear-Women,white
stop,solid nr roma regular neck womens regular dress,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",,1999,0,Westernwear-Women,olive
life,printed jersey round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",699,349,50,Westernwear-Women,off white
life,regular fit regular length cotton blend womens joggers,"Size:26,28,30,32,34,36",1299,649,50,Westernwear-Women,blue
kraus,baggy fit ankle length cotton womens jeans,"Size:28,30,32,34",1695,847,50,Westernwear-Women,blue
zink london,printed polyester boat neck womens top,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1799,1079,40,Westernwear-Women,navy
latin quarters,printed polyester womens regular dress,"Size:S,M,L,XL,XX-Large",,2699,0,Westernwear-Women,red
life,embroidered viscose blend round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",899,449,50,Westernwear-Women,pink
fratini,solid cotton blend round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,XX-Large",,699,0,Westernwear-Women,yellow
fratini,printed viscose collar neck womens a-line dress,"Size:Large,Medium,Small,X-Large,XX-Large",1599,799,50,Westernwear-Women,yellow
faballey,floral georgette round neck womens dress,"Size:Small,X-Small",2400,1920,20,Westernwear-Women,blue
rare,solid polyester choker neck womens regular top,"Size:Large,Medium,Small,X-Large",1299,584,55,Westernwear-Women,black
stop,solid regular neck cotton stretch womens formal shirt,"Size:Large,X-Large,X-Small,XX-Large",,999,0,Westernwear-Women,white
rare,floral polyester round neck womens regular top,"Size:Large,Medium,Small,X-Large",1399,559,60,Westernwear-Women,multi
life,regular fit regular length cotton lycra womens jeans,"Size:26,28,30,32,34",999,499,50,Westernwear-Women,black
zink london,solid cotton round neck womens top,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1899,1139,40,Westernwear-Women,lavender
zink london,checks round neck cotton womens a-line dress,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2799,1399,50,Westernwear-Women,multi
stop,solid regular neck cotton blend womens formal shirt,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",899,449,50,Westernwear-Women,pink
only,solid viscose womens cropped top,"Size:Large,Medium,Small,X-Large,X-Small",1799,1079,40,Westernwear-Women,pink
life,printed viscose wide neck womens a-line dress,"Size:Large,Medium,Small,X-Large,X-Small",1499,749,50,Westernwear-Women,sage
life,embroidered blended round neck womens top,"Size:Large,Medium,Small,X-Large,X-Small",1199,599,50,Westernwear-Women,natural
latin quarters,printed v neck polyester womens regular fit dresses,"Size:S,M,L,XL",2699,1889,30,Westernwear-Women,peach
rare,solid polyester mandarin womens regular top,"Size:Medium,Small",1299,519,60,Westernwear-Women,green
latin quarters,dyed rayon blend womens casual wear shrug,"Size:S,M,L,XL,XX-Large",1399,699,50,Westernwear-Women,peach
life,solid denim collar neck womens denim jacket,"Size:Large,Medium,Small,X-Large,X-Small",1899,949,50,Westernwear-Women,mid stone
rare,solid crepe tie up neck�womens regular top,"Size:Large,Medium",1399,559,60,Westernwear-Women,grey
zink london,floral polyester round neck womens short dress,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2199,1319,40,Westernwear-Women,blue
rare,solid crepe round neck womens regular top,Size:Small,1099,549,50,Westernwear-Women,maroon
allen solly,printed round neck rayon womens fit and flare dress,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2499,1499,40,Westernwear-Women,red
life,regular fit regular length cotton lycra womens jeans,"Size:26,28,30,32,36",999,499,50,Westernwear-Women,dk indigo
rare,solid crepe round neck womens regular top,"Size:Large,Medium,Small,X-Large",999,499,50,Westernwear-Women,maroon
latin quarters,printed polyester womens regular dress,"Size:S,M,L,XL",,2799,0,Westernwear-Women,yellow
rare,floral crepe round neck womens flared dress,"Size:Large,Small,X-Large",1599,719,55,Westernwear-Women,cream
life,womens viscose collar checks shirts,"Size:Small,X-Small",899,449,50,Westernwear-Women,orange
rare,solid modal round neck womens regular top,Size:X-Large,1499,599,60,Westernwear-Women,mustard
van heusen,textured polyester round neck womens jacket,"Size:Large,Medium,Small,X-Large,X-Small",3499,1499,57,Westernwear-Women,navy
life,printed jersey round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",699,349,50,Westernwear-Women,blue
rare,solid polyester boat neck womens regular top,"Size:Large,Medium,Small,X-Large",1499,599,60,Westernwear-Women,maroon
life,solid viscose blend round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",699,349,50,Westernwear-Women,orange
stop,printed regular neck chambray womens formal shirt,"Size:Large,Medium,Small,X-Large,XX-Large",899,449,50,Westernwear-Women,blue
madame,solid georgette square neck womens regular top,"Size:Large,Medium,Small,X-Large,XX-Large",1699,849,50,Westernwear-Women,mint
rare,floral georgette round neck womens flared dress,"Size:Large,Medium,Small,X-Large",1899,854,55,Westernwear-Women,black
rare,solid polyester blend sweetheart neck womens bodycon dress,"Size:Large,Medium,X-Large",2399,1079,55,Westernwear-Women,green
and,floral polyester v neck womens straight top,"Size:8,10,12,14,16,18",,2099,0,Westernwear-Women,powder blue
zink london,textured polyester boat neck womens dress,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2699,1619,40,Westernwear-Women,black
