Company Name,Company Event URL,Location,Company Description,Booth Number,Booth Schedule,Creation,Employees,Industry Type,City,Fundraising Amount,Official Website,Development Level,Looking For,Type of Company(Startup or Not),HashTags,LinkedIN,Instagram
billiv,https://vivatechnology.com/partners/billiv,France,"billiv is an all-in-one marketing solution that boosts loyalty, customer feedback and in-store customer experience through an enriched e-receipt. billiv centralizes, simplifies and catalyzes the shopping experience, while increasing marketing KPIs for retailers and omnichannel chains.",Booth J37-019,"(Wed, Thu, Sat)",,,Consumer goods/Retail/E-commerce,Paris,,https://www.billiv.fr,Growth \u0026 Scale,"['""None""']",startup,"Retail & E-commerce, Marketing & Advertising, Data Management & CRM",,
post-industrial-crafts,https://vivatechnology.com/partners/post-industrial-crafts,France,,Booth D48-003,"(Wed, Thu, Fri)",2022,1-5,Industry,Saint Etienne,,www.postindustrialcrafts.com,Growth \u0026 Scale,"['""Funding""']",startup,"B2B Services, DeepTech, Robotics",https://www.linkedin.com/company/post-industrial-crafts,@post.industrial.crafts
laboratoire-bio-stratege,https://vivatechnology.com/partners/laboratoire-bio-stratege,French Guiana,"Bio Stratege laboratory develops, manufactures and markets natural ingredients and bioproducts with applications in nutrition, beauty and well-being, based on the valorization of bioresources from French Guiana, an Amazonian territory. The laboratory also offers a wide range of services to the natural ingredients industry: customized development, quality control and strategic support.
Bio Stratege Guyane's goal is to contribute to a greener industry, respectful of living beings and the planet, by proposing new green alternative solutions that can substitute petrochemical or synthetic molecules with proven harmful consequences. Its activities stimulate the development of the vegetal industry through circular economy approaches from the resource to the market and contribute to the preservation of biodiversity.
The unique position of French Guiana in the world offers an ideal match between exceptional Amazonian bioresources, European environmental guarantees and French quality standards.",Booth B23-032,(Thu),2019,5-15,Industry,MATOURY,,,Growth \u0026 Scale,"['""Funding""']",startup,"Climate Tech, Food & Agriculture, Growth & Investment",https://www.linkedin.com/company/15825334,https://instagram.com/biostratege
chiron,https://vivatechnology.com/partners/chiron,Reunion,"Chiron Biometric, a groundbreaking deep tech solution that is changing the game in the fields of marketing and decision-making. In a world where understanding consumers' emotions is crucial for product improvement and successful market launches, Chiron Biometric stands out. Our solution goes beyond traditional surveys and market studies. It harnesses the power of collecting biometric data to truly understand consumers' emotions. Imagine having the ability to accurately measure how a new product makes your target audience feel or understanding the emotional impact of your marketing campaigns. Chiron Biometric makes this possible.

The depth of our technology also lies in its potential applications. It's not just about marketing; Chiron Biometric can be applied to various industries, including cosmetics, food and beverage, training, and more.",Booth H49-010,"(Wed, Thu, Fri, Sat)",2022,1-5,Marketing/Advertising/Communication,SAINT-DENIS,,,Going to market,"['""Funding', 'Talents""']",startup,"Marketing & Advertising, B2B Services, Luxury, Fashion & Cosmetics",,
best-influence,https://vivatechnology.com/partners/best-influence,France,"Best Influence: A Gateway to Influencer Marketing: It  connects emerging brands with a diverse network of influencers, making influencer marketing both accessible and budget-friendly. Our platform simplifies the search and collaboration process, allowing you to quickly enhance your brand's visibility. With intuitive tools, make data-driven decisions effortlessly. Our advanced sentiment analysis helps ensure your campaigns resonate effectively with your target audience, maximizing impact while staying on budget.
Best Influence isn't just a tool; it's a partner in your brand's growth. Aimed at increasing brand awareness, driving sales, or engaging new consumer segments, our platform cuts down the time spent searching for the right influencer. Connect instantly with influencers who match your brand’s ethos and goals, making your marketing efforts both strategic and time-efficient.
With Best Influence, experience a new level of efficiency in influencer marketing, designed to save you time.",hall1 Booth E50-006,"(Wed, Thu, Fri, Sat)",2023,1-5,Marketing/Advertising/Communication,Nanterre,,,Going to market,"['""Funding', 'Talents""']",startup,"Marketing & Advertising, Growth & Investment, Luxury, Fashion & Cosmetics",,https://www.instagram.com/best_influence
etsol-engineering,https://vivatechnology.com/partners/etsol-engineering,France,"ETSOL ENGINEERING a développé une solution de mobilier urbain intelligent alimentée à l’énergie solaire qui intègre des technologies numériques avancées pour renforcer la sécurité et la connectivité urbaine. Grâce à son intelligence artificielle et à ses capteurs environnementaux, il détecte les risques climatiques et déclenche des alertes préventives. De plus, il offre des fonctionnalités de communication interactive via des écrans digitaux, facilitant la diffusion d'informations cruciales aux citoyens. En reliant les infrastructures urbaines au numérique, Notre solution contribue à créer des villes plus résilientes et plus intelligentes.",Booth B23-029,(Fri),2018,1-5,Smart City/Building,Saint-Claude,,,Going to market,"['""Funding""']",startup,"Artificial Intelligence, Mobility & Smart City, Energy",,@etsol_engineering
stellar-telecommunications-sas,https://vivatechnology.com/partners/stellar-telecommunications-sas,France,"Stellar brings digital life to vehicles and passengers through perfect internet on the move, by seamlessly combining cellular, satellite, and Wi-Fi networks.

In practice:
Stellar offers a full suite of solutions for the land mobility sector (cars, camper, buses, trucks, trains, tractors, shuttles), capable of combining the very best of cellular, Wi-Fi, and satellite networks to enable persistent in-vehicle digital services, as well as enhancing automated driving and road safety.

Stellar Telecommunications SAS (""Stellar""), founded in 2021 as the first mobility-driven, deep-tech, and sustainable connectivity provider, is a truly European company: headquartered in Bordeaux, France, it also runs critical activities from Luxembourg and Germany.",Booth B18-009,"(Wed, Thu)",,,Telecom/Connectivity,Bordeaux,,,Going to market,"['""Funding', 'Talents""']",startup,"Mobility & Smart City, 5G & Connectivity, Artificial Intelligence",https://www.linkedin.com/company/stellartc,
citronics,https://vivatechnology.com/partners/citronics,Belgium,"Citronics repurposes obsolete smartphones into premium electronic modules. These components are skillfully adapted for use in both industrial and residential energy optimization, addressing Europe's critical semiconductor shortage. By recycling thousands of identical smartphones, Citronics not only circumvents supply constraints but also significantly reduces electronic waste. This sustainable approach highlights the company's commitment to the circular economy, providing an eco-friendly solution to the high-tech industry's environmental challenges. Demonstrated through successful prototypes in soft mobility and energy monitoring, Citronics exemplifies innovation in sustainable technology. This initiative is an ideal showcase for stakeholders interested in responsible and innovative environmental solutions at [Event Name], demonstrating practical steps toward a more sustainable future.",Booth C27-013,"(Wed, Thu, Fri, Sat)",,,Information technologies,Braine l'Alleud,,,Going to market,"['""Funding', 'Talents""']",startup,"Climate Tech, Energy, Education",https://www.linkedin.com/company/citronics-eu,
argo,https://vivatechnology.com/partners/argo,France,"In today's rapidly evolving business landscape, staying ahead of the competition is not just about delivering a product or service—it's about creating meaningful and memorable customer experiences. That's where Augmented Customer Experience (ACX) comes in.
ACX is not just another software-as-a-service (SaaS) solution; it's a revolutionary tool designed to transform the way you engage with your customers and enhance every outbound communication on all your channels using augmented reality and artificial intelligence.",hall1 Booth K28-002,"(Wed, Thu, Fri, Sat)",2014,15-30,Marketing/Advertising/Communication,Montpellier,,https://ar-go.co/,Growth \u0026 Scale,"['""None""']",startup,"Artificial Intelligence, XR & Metaverse, Education",https://www.linkedin.com/company/ar-go/,
arcadium-esport,https://vivatechnology.com/partners/arcadium-esport,France,"Arcadium is reinventing amateur esports by transforming it into a collective experience that goes beyond simple entertainment. Our platform is not just a gaming venue; it's a space where learning, respect, and perseverance intertwine to enrich the experience of every participant.

Arcadium offers a new way to connect with a dynamic and committed audience, while strengthening their brand image as innovative and adapted to new generations. Our model subtly blends personal and professional development, making each session not only entertaining but also deeply enriching.

More than 2000 players and 40 clubs have already trusted Arcadium during our beta phase. Building on this experience, we launched a unique solution and platform in January, establishing Arcadium as the sole regulatory structure for amateur esports. We are now beginning our internationalization phase, ready to expand our impact and offer our services on a global scale.",Booth B33-010,"(Wed, Thu)",2020,1-5,Media/Entertainment/Culture,Ajaccio,600K€,,Growth \u0026 Scale,"['""Funding""']",startup,"Gaming & esports, B2B Services, Diversity & Inclusion",https://www.linkedin.com/company/70507946,https://www.instagram.com/arcadium.club/
byome-labs,https://vivatechnology.com/partners/byome-labs,France,"As experts in microbiome testing and analysis for the cosmetics industry, BYOME LABS is a French industrial start-up driven by a passion for microbiome-related technological innovation. Our team specializes in skin, scalp, vaginal, and oral microbiomes.

Our core values include innovation, scientific expertise, and collaboration with clients. We strive to push the boundaries in skin microbiome testing, developing diagnostic tests to assess consumers' skin condition rapidly and affordably, either at the point of sale or at home. Our iPad applications and AI algorithms, developed with dermatologists, recommend personalized beauty routines based on individual skin microbiomes.

Our R&D is based in Chartres and Clermont-Ferrand, with multidisciplinary teams comprising doctors, engineers, and technicians in microbiology, immunology, and related biology fields. Supported by technology and AI, our expertise is enhanced by an ecosystem of experts and a scientific committee.",Booth D37-016,"(Fri, Sat)",2023,5-15,Luxury/Fashion/Beauty,LE COUDRAY,390000,,Conception stage,"['""Funding""']",startup,"Artificial Intelligence, DeepTech, Healthcare & Wellness",https://www.linkedin.com/company/byome-labs/,
newrizon-co-ltd,https://vivatechnology.com/partners/newrizon-co-ltd,South Korea,"Newrizon, established in 2020, in Busan, South Korea, specializes in innovative environmental technology.
Our flagship Aero Hybrid Filter combines traditional electrostatic methods with advanced nanotechnology, enhancing air quality and extending filter life while reducing environmental waste.

Awarded the prestigious Green Certification in Korea, our filter is designed to meet the needs of diverse industries, ranging from healthcare to high-tech manufacturing, demonstrating our commitment to sustainability. In 2022, we achieved significant financial success with revenues reaching KRW 2 billion and exports totaling KRW 225 million, primarily to the USA.

Looking ahead to VIVA Tech 2024, we aim to showcase our technological advancements and explore new ideas necessary for global expansion. This strategic participation is intended to enhance our international visibility, attract strategic partnerships, and secure investments that will fuel our continued growth and innovation.",Booth H47-008,"(Wed, Thu, Fri, Sat)",2020,30-50,Smart City/Building,Busan,"4,300,000",,Growth \u0026 Scale,"['""Funding', 'Talents""']",startup,"Energy, Climate Tech, Healthcare & Wellness",https://www.linkedin.com/company/newrizonkr/,
euveka,https://vivatechnology.com/partners/euveka,France,"EUVEKA is committed to addressing Fashion industry's challenges of growing returns and unsold inventory, largely due to garment fit and inadequate market alignment.
Our mission involves, with a vision to reduce environmental harm, halting overproduction, and waste.
Through an inclusive approach and market intelligence, we provide brands with tools to exercise greater control over their production processes. Our advocacy lies in promoting the creation of fewer yet superior-quality items while fostering inclusive sales strategies. 
EUVEKA bridges the physical and digital realms, ensuring meticulous calibration and stringent oversight throughout the product lifecycle.
Our aspiration is to establish a new standard for sizing and recommendations, championing inclusivity and sustainability. Leveraging our distinctive approach to fit analysis and deep-rooted expertise, we are poised to lead the industry towards a future characterized by enhanced social responsibility and sustainability.",Booth J40-002,"(Wed, Thu, Fri, Sat)",2011,,Luxury/Fashion/Beauty,saint-marcel-lès-valence,,,Growth \u0026 Scale,"['""Funding', 'Talents""']",startup,"Industry, Logistics & Supply Chain, Retail & E-commerce, Diversity & Inclusion",https://www.linkedin.com/company/10322925/,@euveka_smartmorphosizing
hong-kong-trade-development-council,https://vivatechnology.com/partners/hong-kong-trade-development-council,Hong Kong,"The Hong Kong Trade Development Council (HKTDC) is a statutory body established in 1966 to promote, assist and develop Hong Kong’s trade. With 50 offices globally, including 13 in Mainland China, the HKTDC promotes Hong Kong as a two-way global investment and business hub. The HKTDC organises international exhibitions, conferences and business missions to create business opportunities for companies, particularly SMEs, in the mainland and international markets. The HKTDC also provides up-to-date market insights and product information via trade publications, research reports and digital news channels.",hall1 Booth M18,,,,Government/Public institutions,,,,,,,"Web3, Blockchain, Crypto & NFT, Fintech, Insurance & Legal, Healthcare & Wellness, Growth & Investment, Mobility & Smart City",https://www.linkedin.com/company/hong-kong-trade-development-council/posts/?feedView=all,
hyundai-motor-and-kia-zer01ne,https://vivatechnology.com/partners/hyundai-motor-and-kia-zer01ne,South Korea,"ZER01NE is a creative talent platform operated by Hyundai Motor and Kia. ZER01NE is creating an ecosystem for creative talents such as artists, architects, designers, and entrepreneurs, forming a place of collaboration with start-ups, and developing a ground of an active participation for companies.",hall1 Booth D44,,,,Mobility/Transportation,,,,,,,"Mobility & Smart City, Artificial Intelligence, Robotics, Climate Tech, Energy",,
gamino,https://vivatechnology.com/partners/gamino,France,"Gamino is a 100% digital platform that raises awareness of disability. Through quick and fun activities, employees can put themselves in the place of people with a disability like dyslexic people, blind people or even Paralympic athletes.

Since 2020, more than 400,000 employees have already been made aware of the issue. 

The platform has also been recognised by AGEFIPH in 2021 and by the LVMH Group in 2022 with an Innovation Award in the ""Employee Experience & CSR"" category.

You too can be an innovative agent of change for a more inclusive society!",Booth,,2022,5-15,HR/Training/Education,Nanterre,,,Stable Business,"['""Talents', 'Funding""']",startup,"HR & Future of Work, Diversity & Inclusion, B2B Services",https://www.linkedin.com/company/gamino-sensibilisation-100-digitale/,https://www.instagram.com/gamino_rse/
the-financial-times,https://vivatechnology.com/partners/the-financial-times,United Kingdom,"At the Financial Times we hold a commitment to reporting the news ‘without fear and without favour'. This promise was present on the FT’s first front page and still holds true today. And, it’s a principle that remains at the heart of our journalism. 

That’s why, for over 135 years, the Financial Times has remained a trusted and reliable source for information to over 22.4 million monthly global readers, ensuring readers can navigate their world with confidence across business intelligence, politics, tech trends and more",hall1 Booth,,,,Media/Entertainment/Culture,,,,,,,"Growth & Investment, Marketing & Advertising, Artificial Intelligence, GovTech & Public Sector",https://www.linkedin.com/company/financial-times/,@financialtimes
rhoban,https://vivatechnology.com/partners/rhoban,France,"Rhoban is a team of the LaBRI, the computer science lab of Bordeaux University, CNRS and ENSEIRB-MATMECA.
Rhoban is specialized in Autonomous Robotics, Agricultural Robotics and Humanoid Robotics.
Rhoban won the world championship of Autonomous Kid-Size Soccer Robot 5 times, the RoboCup.",Booth J61-007,"(Wed, Thu, Fri, Sat)",,,Non Profit,Bordeaux,,www.rhoban.com,Conception stage,"['""Talents', 'Funding""']",startup,"Robotics, Artificial Intelligence",,
